Website ID,Date,Widget ID,Clicks,Impressions,Revenue
1397,2020-01-18,4648,938,45844000000,4514649984
1397,2020-01-19,4648,442,36014000000,1454739992
1397,2020-01-20,4648,438,36072000000,1681819992
1397,2020-01-21,4648,500,36914000000,2302243990
1397,2020-01-22,4648,360,15720000000,2105669990
1397,2020-01-23,4648,72,2048000000,12600000
1397,2020-01-24,4648,68,2246000000,75810000
1397,2020-01-25,4648,254,34880000000,748005986
1397,2020-01-26,4648,430,41316000000,1054535992
1397,2020-01-27,4648,518,38792000000,1300893986
1397,2020-01-28,4648,642,51830000000,1789227990
1397,2020-01-29,4648,488,33524000000,1559025988
1397,2020-01-30,4648,374,32300000000,953777978
1397,2020-01-31,4648,520,35194000000,1182691990
1397,2020-02-01,4648,438,30480000000,1554881988
1397,2020-02-02,4648,402,22518000000,604183986
1397,2020-02-03,4648,638,46154000000,1171085978
1397,2020-02-04,4648,694,38754000000,1204391972
1397,2020-02-05,4648,1514,88554000000,3085879986
1397,2020-02-06,4648,2744,138248000000,5466145982
1397,2020-02-07,4648,1830,125792000000,4439973968
1397,2020-02-08,4648,2398,136736000000,5276165954
1397,2020-02-09,4648,2590,159132000000,6151767978
1397,2020-02-10,4648,782,71622000000,1623453984
1397,2020-02-11,4648,870,50998000000,2657381994
1397,2020-02-12,4648,628,34708000000,1597483968
1397,2020-02-13,4648,1070,57692000000,2515897984
1397,2020-02-14,4648,2082,143118000000,6169043962
1397,2020-02-15,4648,3580,210482000000,7710891956
1397,2020-02-16,4648,2238,139016000000,5756603972
1397,2020-02-17,4648,858,49114000000,2056193980
1397,2020-02-18,4648,608,40294000000,850163982
1397,2020-02-19,4648,960,58406000000,1828035982
1397,2020-02-20,4648,720,57498000000,1490551966
1397,2020-02-21,4648,1012,69008000000,1858527946
1397,2020-02-22,4648,1108,79662000000,2195493982
1397,2020-02-23,4648,1068,73846000000,3258891972
1397,2020-02-24,4648,750,58456000000,1968413980
1397,2020-02-25,4648,596,47854000000,1443917984
1397,2020-02-26,4648,1756,155188000000,3704114390
1397,2020-02-27,4648,2874,194756000000,5765759946
1397,2020-02-27,4788,1254,213112000000,639800000
1397,2020-02-28,4648,2764,125888000000,3639523964
1397,2020-02-28,4788,2602,378666000000,1419600000
1397,2020-02-29,4648,654,37388000000,1105691982
1397,2020-02-29,4788,960,105854000000,586600000
1397,2020-03-01,4648,464,31382000000,387491980
1397,2020-03-01,4788,410,95502000000,244999998
1397,2020-03-02,4648,466,50198000000,595013988
1397,2020-03-02,4788,854,154916000000,782600000
1397,2020-03-03,4648,540,29400000000,434937990
1397,2020-03-03,4788,724,84418000000,541800000
1397,2020-03-04,4648,308,24294000000,565459988
1397,2020-03-04,4788,372,73476000000,236600000
1397,2020-03-05,4648,36,2052000000,6090000
1397,2020-03-05,4788,50,6064000000,49000000
1397,2020-03-06,4648,14,1370000000,27996
1397,2020-03-06,4788,18,3684000000,16800000
1397,2020-03-07,4648,274,11926000000,204147996
1397,2020-03-07,4788,258,43772000000,179200000
1397,2020-03-08,4648,1100,43718000000,1305261980
1397,2020-03-08,4788,1040,130540000000,863800000
1397,2020-03-09,4648,1542,52670000000,1775241982
1397,2020-03-09,4788,1218,152514000000,873600000
1397,2020-03-10,4648,2346,124696000000,3353979974
1397,2020-03-10,4788,3348,369888000000,1807400000
1397,2020-03-11,4648,4400,206090000000,10505977978
1397,2020-03-11,4788,6546,701836000000,3218599998
1397,2020-03-12,4648,9546,569856000000,27739319962
1397,2020-03-12,4788,15868,1600318000000,7327599998
1397,2020-03-13,4648,10332,461074000000,14111747980
1397,2020-03-13,4788,14462,1318762000000,5774999998
1397,2020-03-14,4648,5720,397048000000,7645987968
1397,2020-03-14,4788,12776,1168960000000,5220600000
1397,2020-03-15,4648,13496,682168000000,3000563960
1397,2020-03-15,4788,24326,1945042000000,7846999996
1397,2020-03-16,4648,6474,388856000000,1799643976
1397,2020-03-16,4788,13330,1114952000000,5041399994
1397,2020-03-17,4648,3344,194998000000,3682671984
1397,2020-03-17,4788,7214,534560000000,3222799998
1397,2020-03-18,4648,5650,294460000000,11840107902
1397,2020-03-18,4788,11148,847160000000,5839399998
1397,2020-03-19,4648,1046,55698000000,2715159950
1397,2020-03-19,4788,1716,157924000000,879200000
1397,2020-03-20,4648,992,69484000000,739857986
1397,2020-03-20,4788,1858,197350000000,669199998
1397,2020-03-21,4648,1054,83948000000,2143077996
1397,2020-03-21,4788,2408,242158000000,1038800000
1397,2020-03-22,4648,3046,188806000000,4215525982
1397,2020-03-22,4788,6558,584964000000,2053800000
1397,2020-03-23,4648,6006,311222000000,8859997994
1397,2020-03-23,4788,10420,865210000000,3362800000
1397,2020-03-24,4648,6060,356346000000,7720313980
1397,2020-03-24,4788,11454,1057776000000,5539799998
1397,2020-03-25,4648,7104,287952000000,1342852002
1397,2020-03-25,4788,8790,832422000000,3960599998
1397,2020-03-26,4648,7172,317196000000,2159779996
1397,2020-03-26,4788,8778,932358000000,2976400000
1397,2020-03-27,4648,6116,261902000000,514023992
1397,2020-03-27,4788,3462,800338000000,3365459984
1397,2020-03-28,4648,10466,703120000000,10475220104
1397,2020-03-28,4788,15988,2116200000000,10463207916
1397,2020-03-29,4648,13398,726636000000,18112780286
1397,2020-03-29,4788,10318,1228542000000,13301595958
1397,2020-03-30,4648,7708,611534000000,11697812178
1397,2020-03-30,4788,100,66000000,9800000
1397,2020-03-31,4648,10348,826364000000,15327788114
1397,2020-03-31,4788,22,60000000,1400000
1397,2020-04-01,4648,13784,1076024000000,18630444214
1397,2020-04-01,4788,14,66000000,2800000
1397,2020-04-02,4648,12396,792266000000,19468288300
1397,2020-04-02,4788,6,50000000,0
1397,2020-04-03,4648,4646,288034000000,7113400120
1397,2020-04-03,4788,2,48000000,0
1397,2020-04-04,4648,1178,69174000000,1718094020
1397,2020-04-04,4788,2,84000000,0
1397,2020-04-05,4648,2164,100742000000,1435336004
1397,2020-04-05,4788,12,168000000,1400000
1397,2020-04-06,4648,1190,61992000000,1360995998
1397,2020-04-06,4788,0,12000000,0
1397,2020-04-07,4648,366,27496000000,418039996
1397,2020-04-07,4788,4,18000000,0
1397,2020-04-08,4648,412,32514000000,608719996
1397,2020-04-08,4788,4,0,0
1397,2020-04-09,4648,268,22486000000,189839990
1397,2020-04-09,4788,2,0,0
1397,2020-04-10,4648,360,30652000000,507359984
1397,2020-04-10,4788,6,0,0
1397,2020-04-11,4648,382,33960000000,356159992
1397,2020-04-11,4788,2,0,0
1397,2020-04-12,4648,186,13382000000,210209990
1397,2020-04-13,4648,462,42230000000,497629992
